rank,score,probability,probability_pct,ev,picks,details
1,0.01614781,0.01614781,1.6148%,1.39092171,1:3|2:3|3:3|4:3|5:3|6:3|7:3|8:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
2,0.01550190,0.01550190,1.5502%,1.36785277,1:3|2:3|3:3|4:3|5:3|6:3|8:3|10:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 10.Belgium vs Denmark:3(home_win,p=48.0%,odds=2.10,ev=1.008) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
3,0.01462443,0.01462443,1.4624%,1.35660289,1:3|2:3|3:3|4:3|5:3|6:3|7:3|8:3|10:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 10.Belgium vs Denmark:3(home_win,p=48.0%,odds=2.10,ev=1.008)"
4,0.01453303,0.01453303,1.4533%,1.37395925,1:3|2:3|3:3|4:3|5:3|6:3|8:3|9:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 9.Italy vs Switzerland:3(home_win,p=45.0%,odds=2.25,ev=1.012) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
5,0.01421007,0.01421007,1.4210%,1.37328076,1:3|2:3|3:3|4:3|5:3|6:3|8:3|12:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 12.Croatia vs Poland:3(home_win,p=44.0%,odds=2.30,ev=1.012) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
6,0.01371040,0.01371040,1.3710%,1.36265915,1:3|2:3|3:3|4:3|5:3|6:3|7:3|8:3|9:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 9.Italy vs Switzerland:3(home_win,p=45.0%,odds=2.25,ev=1.012)"
7,0.01359815,0.01359815,1.3598%,1.35150288,1:3|2:3|3:3|4:3|5:3|6:3|7:3|10:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 10.Belgium vs Denmark:3(home_win,p=48.0%,odds=2.10,ev=1.008) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
8,0.01356416,0.01356416,1.3564%,1.36785277,1:3|2:3|3:3|4:3|5:3|6:3|8:3|11:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 11.Uruguay vs Senegal:3(home_win,p=42.0%,odds=2.40,ev=1.008) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
9,0.01340573,0.01340573,1.3406%,1.36198624,1:3|2:3|3:3|4:3|5:3|6:3|7:3|8:3|12:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 12.Croatia vs Poland:3(home_win,p=44.0%,odds=2.30,ev=1.012)"
10,0.01336370,0.01336370,1.3364%,1.35804832,1:3|2:3|3:3|4:3|6:3|7:3|8:3|10:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 10.Belgium vs Denmark:3(home_win,p=48.0%,odds=2.10,ev=1.008) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
11,0.01316199,0.01316199,1.3162%,1.34005895,1:3|2:3|3:3|4:3|5:3|6:3|8:3|9:3|10:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 9.Italy vs Switzerland:3(home_win,p=45.0%,odds=2.25,ev=1.012) | 10.Belgium vs Denmark:3(home_win,p=48.0%,odds=2.10,ev=1.008)"
12,0.01286950,0.01286950,1.2869%,1.33939720,1:3|2:3|3:3|4:3|5:3|6:3|8:3|10:3|12:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 10.Belgium vs Denmark:3(home_win,p=48.0%,odds=2.10,ev=1.008) | 12.Croatia vs Poland:3(home_win,p=44.0%,odds=2.30,ev=1.012)"
13,0.01279638,0.01279638,1.2796%,1.35660289,1:3|2:3|3:3|4:3|5:3|6:3|7:3|8:3|11:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 11.Uruguay vs Senegal:3(home_win,p=42.0%,odds=2.40,ev=1.008)"
14,0.01274827,0.01274827,1.2748%,1.35753638,1:3|2:3|3:3|4:3|5:3|6:3|7:3|9:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 9.Italy vs Switzerland:3(home_win,p=45.0%,odds=2.25,ev=1.012) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
15,0.01259529,0.01259529,1.2595%,1.40245619,1:3|2:3|3:3|4:3|5:3|6:3|8:3|13:3|14:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034) | 14.Sweden vs Serbia:3(home_win,p=39.0%,odds=2.65,ev=1.034)"
16,0.01252847,0.01252847,1.2528%,1.36411104,1:3|2:3|3:3|4:3|6:3|7:3|8:3|9:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 9.Italy vs Switzerland:3(home_win,p=45.0%,odds=2.25,ev=1.012) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
17,0.01250153,0.01250153,1.2502%,1.37052697,1:3|2:3|3:3|5:3|6:3|7:3|8:3|10:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 10.Belgium vs Denmark:3(home_win,p=48.0%,odds=2.10,ev=1.008) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
18,0.01246497,0.01246497,1.2465%,1.35686599,1:3|2:3|3:3|4:3|5:3|6:3|7:3|12:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 12.Croatia vs Poland:3(home_win,p=44.0%,odds=2.30,ev=1.012) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
19,0.01228452,0.01228452,1.2285%,1.33410314,1:3|2:3|3:3|4:3|5:3|6:3|8:3|10:3|11:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 5.Germany vs USA:3(home_win,p=58.0%,odds=1.78,ev=1.032) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 10.Belgium vs Denmark:3(home_win,p=48.0%,odds=2.10,ev=1.008) | 11.Uruguay vs Senegal:3(home_win,p=42.0%,odds=2.40,ev=1.008)"
20,0.01225006,0.01225006,1.2250%,1.36343740,1:3|2:3|3:3|4:3|6:3|7:3|8:3|12:3|13:3,"1.France vs Norway:3(home_win,p=72.0%,odds=1.45,ev=1.044,manual_lock) | 2.Brazil vs Japan:3(home_win,p=92.0%,odds=1.18,ev=1.086,auto_lock) | 3.England vs Ghana:3(home_win,p=68.0%,odds=1.52,ev=1.034) | 4.Spain vs Canada:3(home_win,p=62.0%,odds=1.65,ev=1.023) | 6.Argentina vs South Korea:3(home_win,p=66.0%,odds=1.55,ev=1.023) | 7.Netherlands vs Mexico:3(home_win,p=50.0%,odds=2.05,ev=1.025) | 8.Portugal vs Morocco:3(home_win,p=57.0%,odds=1.82,ev=1.037) | 12.Croatia vs Poland:3(home_win,p=44.0%,odds=2.30,ev=1.012) | 13.Colombia vs Australia:3(home_win,p=53.0%,odds=1.95,ev=1.034)"
